fecha,cod,prov,lng,lat,paro
2022-1,37,Salamanca,-6.066,40.805,20200
2022-1,42,Soria,-2.589,41.621,3493
2022-1,49,Zamora,-5.979,41.727,10337
2022-1,24,León,-5.841,42.62,25991
2022-1,34,Palencia,-4.535,42.37,8299
2022-1,40,Segovia,-4.055,41.171,6257
2022-1,47,Valladolid,-4.847,41.634,28399
2022-1,07,Castilla León,-4.397,41.835,130069
2021-12,09,Burgos,-3.586,42.367,17119
2021-12,24,León,-5.841,42.62,25791
2021-12,34,Palencia,-4.535,42.37,8413
2021-12,37,Salamanca,-6.066,40.805,19953
2021-12,42,Soria,-2.589,41.621,3318
2021-12,47,Valladolid,-4.847,41.634,28097
2021-12,49,Zamora,-5.979,41.727,9997
2021-12,05,Ávila,-4.946,40.571,10075
2021-12,40,Segovia,-4.055,41.171,6006
2021-12,07,Castilla León,-4.397,41.835,128769
2021-11,09,Burgos,-3.586,42.367,17169
2021-11,40,Segovia,-4.055,41.171,6005
2021-11,47,Valladolid,-4.847,41.634,28162
2021-11,24,León,-5.841,42.62,25805
2021-11,34,Palencia,-4.535,42.37,8377
2021-11,37,Salamanca,-6.066,40.805,20214
2021-11,49,Zamora,-5.979,41.727,9957
2021-11,05,Ávila,-4.946,40.571,10125
2021-11,42,Soria,-2.589,41.621,3268
2021-11,07,Castilla León,-4.397,41.835,129082
2021-10,05,Ávila,-4.946,40.571,10565
2021-10,42,Soria,-2.589,41.621,3319
2021-10,49,Zamora,-5.979,41.727,10424
2021-10,34,Palencia,-4.535,42.37,8771
2021-10,37,Salamanca,-6.066,40.805,21471
2021-10,40,Segovia,-4.055,41.171,6327
2021-10,07,Castilla León,-4.397,41.835,135968
2021-10,09,Burgos,-3.586,42.367,18154
2021-10,24,León,-5.841,42.62,27243
2021-10,47,Valladolid,-4.847,41.634,29694
2021-9,40,Segovia,-4.055,41.171,6608
2021-9,42,Soria,-2.589,41.621,3349
2021-9,47,Valladolid,-4.847,41.634,30610
2021-9,49,Zamora,-5.979,41.727,10412
2021-9,07,Castilla León,-4.397,41.835,138742
2021-9,05,Ávila,-4.946,40.571,10625
2021-9,24,León,-5.841,42.62,27777
2021-9,34,Palencia,-4.535,42.37,8774
2021-9,09,Burgos,-3.586,42.367,18567
2021-9,37,Salamanca,-6.066,40.805,22020
2021-8,05,Ávila,-4.946,40.571,11278
2021-8,09,Burgos,-3.586,42.367,20183
2021-8,34,Palencia,-4.535,42.37,9354
2021-8,42,Soria,-2.589,41.621,3723
2021-8,47,Valladolid,-4.847,41.634,33798
2021-8,49,Zamora,-5.979,41.727,11150
2021-8,24,León,-5.841,42.62,29019
2021-8,40,Segovia,-4.055,41.171,7224
2021-8,37,Salamanca,-6.066,40.805,23294
2021-8,07,Castilla León,-4.397,41.835,149023
2021-7,37,Salamanca,-6.066,40.805,23100
2021-7,07,Castilla León,-4.397,41.835,148067
2021-7,09,Burgos,-3.586,42.367,19682
2021-7,24,León,-5.841,42.62,29444
2021-7,42,Soria,-2.589,41.621,3738
2021-7,49,Zamora,-5.979,41.727,11074
2021-7,05,Ávila,-4.946,40.571,11320
2021-7,34,Palencia,-4.535,42.37,9273
2021-7,40,Segovia,-4.055,41.171,7159
2021-7,47,Valladolid,-4.847,41.634,33277
2021-6,05,Ávila,-4.946,40.571,11663
2021-6,24,León,-5.841,42.62,30102
2021-6,42,Soria,-2.589,41.621,3991
2021-6,47,Valladolid,-4.847,41.634,33372
2021-6,49,Zamora,-5.979,41.727,11423
2021-6,09,Burgos,-3.586,42.367,20212
2021-6,34,Palencia,-4.535,42.37,9563
2021-6,37,Salamanca,-6.066,40.805,23499
2021-6,40,Segovia,-4.055,41.171,7339
2021-6,07,Castilla León,-4.397,41.835,151164
2021-5,09,Burgos,-3.586,42.367,21298
2021-5,40,Segovia,-4.055,41.171,7969
2021-5,42,Soria,-2.589,41.621,4371
2021-5,47,Valladolid,-4.847,41.634,34961
2021-5,07,Castilla León,-4.397,41.835,160434
2021-5,37,Salamanca,-6.066,40.805,24900
2021-5,49,Zamora,-5.979,41.727,12371
2021-5,05,Ávila,-4.946,40.571,12537
2021-5,24,León,-5.841,42.62,31878
2021-5,34,Palencia,-4.535,42.37,10149
2021-4,05,Ávila,-4.946,40.571,13261
2021-4,34,Palencia,-4.535,42.37,10576
2021-4,47,Valladolid,-4.847,41.634,36782
2021-4,09,Burgos,-3.586,42.367,22709
2021-4,37,Salamanca,-6.066,40.805,25983
2021-4,40,Segovia,-4.055,41.171,8650
2021-4,42,Soria,-2.589,41.621,4580
2021-4,07,Castilla León,-4.397,41.835,168720
2021-4,24,León,-5.841,42.62,33022
2021-4,49,Zamora,-5.979,41.727,13157
2021-3,05,Ávila,-4.946,40.571,13345
2021-3,09,Burgos,-3.586,42.367,23190
2021-3,34,Palencia,-4.535,42.37,10777
2021-3,37,Salamanca,-6.066,40.805,25884
2021-3,42,Soria,-2.589,41.621,4732
2021-3,47,Valladolid,-4.847,41.634,37257
2021-3,49,Zamora,-5.979,41.727,13276
2021-3,24,León,-5.841,42.62,33657
2021-3,40,Segovia,-4.055,41.171,8875
